axis,n_rows,n_car_seasons_trusted,field_sigma_abs,field_sigma_rel_check,noise_sd_abs,noise_sd_rel,snr_abs,snr_rel,n_weekends_abs,n_weekends_rel
drag_area_closed_m2,1481,81,0.09590695407280703,0.09590695407280703,0.20775558991619186,0.10852968713557185,0.23109566941486645,0.39893322602461917,4.692510347137688,1.2805510758739416
brake_decel_ms2,1562,81,5.657534061731987,5.657534061731987,7.774712094385559,5.513627967210095,0.2399136192011933,0.32960696249859855,1.8884882044390343,0.9497746255509416
brake_aero_decel_per_m,1562,81,0.001456760627862193,0.001456760627862193,0.0017376111146485279,0.0014691725839341707,0.23932168375481902,0.28272595817929846,1.4227506129949328,1.0171130826588939
traction_accel_ms2,1562,81,1.3857488970731457,1.3857488970731457,2.71851921687548,1.6054714342366057,0.185183359121813,0.3161240276970839,3.8485375776872486,1.3422582505056153
traction_aero_accel_per_m,1562,81,0.0012983927354194309,0.001298392735419431,0.0027448068916117213,0.0016554795642687709,0.2027964386566613,0.32851278764991787,4.469011138496602,1.6256816149909321
max_power_w,1481,81,20540.424921119957,20540.42492111997,36444.08203794953,17879.657538629323,0.34745119228068905,0.70029284043464,3.148003336001287,0.7577039392678989
power_drag_area_m2,1481,81,0.09590695407280703,0.09590695407280703,0.20775558991619186,0.10852968713557185,0.23109566941486645,0.39893322602461917,4.692510347137688,1.2805510758739416
lateral_mech_grip_g,1562,81,0.3868610389842242,0.38686103898422425,0.7636498818261626,0.42148720420642183,0.16619227305140866,0.30063965259979675,3.8965350761496333,1.1870220908857645
lateral_aero_grip_g,1562,81,0.00012901872959119047,0.0001290187295911905,0.0002056192838094955,0.00014342346966492221,0.24537779114661507,0.35238312164918184,2.5399324219807458,1.235762257326798
coast_rolling_decel_ms2,1559,81,0.2613714018986764,0.2613714018986764,0.23992052186681273,0.16751916849785728,0.9134814345640248,1.303807445404867,0.8425945782623809,0.4107833977471141
coast_drag_area_m2,1559,81,0.0956007119364129,0.09560071193641288,0.2054293883228904,0.11382666934896532,0.21334314440516142,0.3741013204565917,4.617457354314573,1.417639493585298
